CD8-T,Mono,B,DC,NK,other-T,CD4-T
1.0,-0.4642,-0.4342,-0.348,-0.5136,-0.1376,0.5284
-0.4642,1.0,-0.3512,0.2478,-0.5502,-0.5874,-0.5164
-0.4342,-0.3512,1.0,-0.234,-0.5978,-0.5878,-0.5438
-0.348,0.2478,-0.234,1.0,-0.5010,-0.5210,-0.4242
-0.5136,-0.5502,-0.5978,-0.5010,1.0,-0.2402,-0.6538
-0.1376,-0.5874,-0.5878,-0.5210,-0.2402,1.0,-0.3146
0.5284,-0.5164,-0.5438,-0.4242,-0.6538,-0.3146,1.0
